Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1981,2,10,6,-5.5,2,0.25,0.2,39279.58730557716
1981,2,11,7,-9,0,-1,0,34426.21627240717
1981,2,12,8,-8.5,0,-0.25,0,32588.14965104477
1981,2,13,10.5,-7,0,1.75,0,31724.71060657308
1981,2,14,13,-4.5,0,4.25,0,32470.75746621942
1981,2,15,13.5,-4,0,4.75,0,31352.511935101516
1981,2,16,15.5,-4.5,0,5.5,0,27049.987910818778
1981,2,17,16.5,-4,0,6.25,0,25679.96210458428
1981,2,18,16.5,-3.5,0,6.5,0,27764.745292884425
1981,2,19,18.5,-4.5,0,7,0,24387.1066680805
1981,2,20,15.5,-1.5,0,7,0,31703.23866850465
1981,2,21,10,-5.5,0,2.25,0,34010.68724798506
1981,2,22,13.5,-8,0,2.75,0,26256.10970053142
1981,2,23,16,-7.5,0,4.25,0,23615.096339068667
1981,2,24,15,-6,0,4.5,0,26105.03843664834
1981,2,25,11.5,-4,0,3.75,0,33633.77685659857
1981,2,26,7,-4,8,1.5,0.8,39476.81657313014
1981,2,27,9.5,-9,0,0.25,0,27495.711113904013
1981,2,28,9,-4.5,0,2.25,0,30609.618523186553
1981,3,1,8.5,-2.5,0,3,0,35466.613130822545
1981,3,2,5.5,-1.5,19,2,1.9,48473.59188913928
1981,3,3,5,-9.5,2,-2.25,0.2,33033.24715957417
1981,3,4,7,-5.5,0,0.75,0,34093.61174698006
1981,3,5,6,-2,9,2,0.9,45011.19246848647
1981,3,6,2.5,-4,11,-0.75,1.1,46476.34900809534
1981,3,7,6,-4.5,1,0.75,0.1,41669.96991297563
1981,3,8,8,-7.5,0,0.25,0,31423.66984446173
1981,3,9,9.5,-6.5,0,1.5,0,32299.21355983376
1981,3,10,9,-5.5,0,1.75,0,31724.71060657308
1981,3,11,9.5,-7,0,1.25,0,29231.42863094081
1981,3,12,9.5,-6,0,1.75,0,31724.71060657308
1981,3,13,8,-4,7,2,0.7,38086.39362718086
1981,3,14,5.5,-6,7,-0.25,0.7,40735.18706380596
1981,3,15,11,-8,0,1.5,0,25121.610546537366
1981,3,16,12.5,-5.5,0,3.5,0,28008.565919180233
1981,3,17,12,-3,0,4.5,0,31906.15808923686
1981,3,18,13,-7.5,0,2.75,0,22974.095987964993
1981,3,19,14,-4.5,0,4.75,0,25652.055219628517
1981,3,20,8,-4,14,2,1.4,38086.39362718086
1981,3,21,9,-7.5,0,0.75,0,30305.432663982276
1981,3,22,13,-7.5,0,2.75,0,22974.095987964993
1981,3,23,15.5,-4,0,5.75,0,23925.98762293867
1981,3,24,16,-2,0,7,0,26825.817334888554
1981,3,25,17,-4,0,6.5,0,22716.609785087254
1981,3,26,13.5,1,0,7.25,0,38355.95546657461
1981,3,27,8,-4.5,8,1.75,0.8,38774.646296922656
1981,3,28,4.5,-4.5,7,0,0.7,44000
1981,3,29,12.5,-3,0,4.75,0,34202.74029283802
1981,3,30,10.5,-1,0,4.75,0,39903.19700831102
1981,3,31,13.5,-7.5,0,3,0,25793.900458780037
1981,4,1,16,-4.5,0,5.75,0,23925.98762293867
1981,4,2,12.5,-1,11,5.75,1.1,37218.20296901571
1981,4,3,6,-4.5,16,0.75,1.6,41669.96991297563
1981,4,4,9.5,-8.5,0,0.5,0,30858.898790787447
1981,4,5,13,-5.5,0,3.75,0,30576.16077872597
1981,4,6,17.5,-4,0,6.75,0,24809.784428324907
1981,4,7,16.5,1.5,0,9,0,36178.69384065374
1981,4,8,17,-0.5,0,8.25,0,31347.483897983544
1981,4,9,19.5,-2,0,8.75,0,25973.301380372584
1981,4,10,18.5,-1,0,8.75,0,28137.743162070303
1981,4,11,18,-0.5,0,8.75,0,30302.184943768014
1981,4,12,15,-0.5,0,7.25,0,33561.46103325279
